hour,2025Q1,2025Q2,2025Q3,2025Q4
0,43.10326653111111,29.970374050549452,30.55188530652174,43.08367103478261
1,41.915365693333335,27.203624716483517,26.936088163043475,39.30213907096774
2,40.99582336444444,24.24646796263736,23.586540023913045,37.036438421739135
3,41.42707362696629,23.363821296703296,22.12237305869565,36.90767834347827
4,42.48363812444445,24.014258432967033,22.35319066956522,38.84339629782608
5,46.99815099333334,27.126767125274725,25.41851013695652,43.811088023913044
6,64.48012027333334,34.882292210989014,30.87302996304348,62.413100956521745
7,77.62623693111112,36.389171483516485,31.80614778913043,77.80710661304347
8,56.93427868,32.4527575010989,29.749248147826087,55.17259518695652
9,47.71831776444444,32.434549026373624,31.246825823913042,45.063716569565216
10,46.75267998444444,33.35807898461538,33.6093346826087,44.00865585434783
11,43.52881756222222,34.7718190967033,38.27305022608696,42.90371340869565
12,41.23035587777778,36.21067534065934,43.71618390869565,41.57235533913044
13,39.41276379333333,38.453201628571435,49.2194373,41.08324081086957
14,37.97914348666667,40.16590263296703,53.40421558913044,40.61218689347826
15,38.404361962222225,43.231303676923076,59.00997378478261,43.320490778260876
16,42.451175964444445,49.63874621538462,69.03236712608695,54.83529678913043
17,55.62039402,56.91814649230769,80.76389885217391,73.11593524347826
18,61.45131515555556,60.66315212307693,86.2637856173913,78.20909441086955
19,62.40496601777778,68.4751153934066,85.60378058695653,72.99982031648352
20,58.410079215555555,64.08539191428571,64.07606790652173,60.285321485714285
21,52.892140355555554,48.95120143296703,49.66631590217391,53.70104685714286
22,48.12140290888889,39.34595008351648,40.903693660869564,48.492165505494505
23,44.48916865555556,32.55203227912088,34.006209660869565,43.60555217362637
