date,lmp_rev,reg_rev,total_revenue
2025-07-03 00:00:00,0.0,2431.489146525833,2431.489146525833
2025-07-03 01:00:00,294.4978060006067,4142.651872160412,4437.149678161018
2025-07-03 02:00:00,0.0,0.0,0.0
2025-07-03 03:00:00,-2430.8252,0.0,-2430.8252
2025-07-03 04:00:00,-2350.4005,0.0,-2350.4005
2025-07-03 05:00:00,0.0,2513.2051675791668,2513.2051675791668
2025-07-03 06:00:00,0.0,2888.0797001066667,2888.0797001066667
2025-07-03 07:00:00,0.0,2608.4694988285405,2608.4694988285405
2025-07-03 08:00:00,0.0,961.2805692463346,961.2805692463346
2025-07-03 09:00:00,0.0,0.0,0.0
2025-07-03 10:00:00,0.0,4305.0884321133335,4305.0884321133335
2025-07-03 11:00:00,-1318.565433555403,0.0,-1318.565433555403
2025-07-03 12:00:00,0.0,11446.400806746668,11446.400806746668
2025-07-03 13:00:00,0.0,0.0,0.0
2025-07-03 14:00:00,0.0,429.975,429.975
2025-07-03 15:00:00,5347.6193,0.0,5347.6193
2025-07-03 16:00:00,0.0,0.0,0.0
2025-07-03 17:00:00,1068.9043000000008,0.0,1068.9043000000008
2025-07-03 18:00:00,5601.7366,0.0,5601.7366
2025-07-03 19:00:00,6500.8267000000005,-0.0,6500.8267000000005
2025-07-03 20:00:00,0.0,2045.0483333333327,2045.0483333333327
2025-07-03 21:00:00,0.0,0.0,0.0
2025-07-03 22:00:00,0.0,3362.4693918249995,3362.4693918249995
2025-07-03 23:00:00,0.0,0.0,0.0
