hour,arb_c,arb_d,reg,reg_bd,reg_bc,reg_ad,reg_ac,J,soc,lmp_rev,rmccp_rev,rmmcp_rev,total_revenue
24,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.5,0.0,4728.048333333333,1258.7624999999998,5986.810833333333
25,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.5,0.0,615.08875,13545.825,14160.91375
26,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.5,0.0,1531.0225,1301.625,2832.6475
27,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.5,0.0,1301.0316666666668,469.8749999999999,1770.9066666666668
28,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.5,0.0,3543.455,7274.924999999999,10818.38
29,0.0,0.0,100.0,100.0,0.0,0.0,0.0,7.105427357601002e-15,0.4999999999999999,0.0,6627.1050000000005,7502.625,14129.73
30,0.0,-0.0,100.0,100.0,0.0,12.84907004531106,0.0,12.849070045311066,0.4678773248867223,0.0,5175.625,7678.125,12853.75
31,0.0,0.0,87.15092995468893,87.15092995468893,0.0,0.0,0.0,12.849070045311066,0.4357546497734446,0.0,4614.894478797648,306.6841225105504,4921.578601308198
32,0.0,0.0,67.46310115755179,87.15092995468893,-19.687828797137144,0.0,-12.849070045311066,0.0,0.4357546497734446,0.0,1311.651344255701,756.5312163807858,2068.1825606364864
33,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.4357546497734446,0.0,7242.491249999999,359.1000000000001,7601.591249999999
34,0.0,9.26255543454133,81.52941751553645,81.52941751553645,0.0,25.03930447483657,0.0,25.03930447483657,0.3499999999999999,307.0876321330463,6505.173794148767,253.7603120171072,7066.02173829892
35,0.0,0.0,0.0,74.96069552516343,-74.96069552516343,0.0,-25.039304474836573,-3.552713678800501e-15,0.35,0.0,0.0,0.0,0.0
36,0.0,100.0,1.6653345369377348e-14,1.6653345369377348e-14,0.0,0.0,0.0,0.0,0.0999999999999999,3593.6841,5.086137067067398e-13,3.056555009095519e-13,3593.684100000001
37,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0999999999999999,0.0,1976.24,2028.6,4004.84
38,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0999999999999999,0.0,2383.23125,2137.2750000000005,4520.50625
39,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0999999999999999,0.0,2477.25,2173.5,4650.75
40,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.1,0.0,3469.2737499999994,1334.1374999999998,4803.411249999999
41,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.1,0.0,13492.3625,2245.9500000000003,15738.312500000002
42,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.1,0.0,66482.12958333333,1330.35,67812.47958333333
43,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.1,0.0,15259.22625,2209.7250000000004,17468.95125
44,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.1,0.0,7619.499999999999,6573.4375,14192.9375
45,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.1,0.0,6442.592083333334,2088.9750000000004,8531.567083333335
46,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.1,0.0,9504.18,2064.8250000000003,11569.005
47,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.1,0.0,9808.900833333331,2040.675,11849.575833333332
48,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.5,0.0,31487.7975,2064.8250000000003,33552.6225
