,q3 Merchant,q3 40% Index PPA,q3 Toll,q4 Merchant,q4 40% Index PPA,q4 Toll
Total,6899046.3203146765,4866957.062445931,3814853.709436108,17443053.75133325,9063919.460254986,3709791.1734481165
Merchant revenue,,2766957.062442732,,,6966774.013944586,
Floor revenue,,2100000.0000032,,,2097145.4463104,
Capacity revenue,,,3600000.000572999,,,3595106.479955999
Variable revenue,,,214853.70886310862,,,114684.69349211737
