hour,2025Q1,2025Q2,2025Q3,2025Q4
0,14.646683948785308,8.579629010758559,6.862091473819464,15.124870644081794
1,13.19848911567351,7.779915407221934,5.752889118708013,14.614617418550695
2,13.592805956764112,7.333610379440601,5.5053140534508636,14.085805098055712
3,14.049841873246756,7.02651852348828,5.178139408983102,13.935599544454444
4,15.394045451903507,7.197510514215747,5.409952663435029,15.196606748907213
5,26.62868833968153,8.01555596993682,5.76383101431559,19.024099166028876
6,84.85956134632708,11.809744374427657,6.963590509959508,22.986722283241193
7,86.9841883467681,11.198604577346355,6.113248091175632,21.879180607030673
8,31.51798263491507,8.083572065470959,4.521256199719756,15.16283141601912
9,16.85332218024971,7.99465642777395,4.833068765244357,13.043047614214577
10,13.946375689570814,8.563247038644398,4.796713202752584,12.270697711078562
11,11.860475891562789,9.380690772750127,5.357844098398623,11.695980036226933
12,11.363789826430354,10.791956183359655,6.639494566086139,11.979037318253841
13,11.793751036416515,12.576139962210398,7.95133580880685,13.50554532825838
14,12.120053974952924,13.792484281607946,9.553727955136019,15.246972790071975
15,12.53067516110111,16.063249147426,11.151017966155596,16.74191387373734
16,13.111322309407855,16.804699697911957,13.59692331197437,23.257064439403276
17,18.038083183096347,17.494366497877248,16.744989500719033,30.268486319800214
18,24.02269317314539,24.915348658957484,34.278860386186494,26.369148443830575
19,35.03152121625398,61.9523895868732,59.9420164819096,23.602861212265616
20,29.41273556211107,60.18163724267137,59.85973385810934,20.040754240227837
21,20.26380364121958,27.871294050818236,43.923284083759526,17.636733748339324
22,15.586538545044434,15.85499547128171,13.976657616830494,16.832526484409993
23,13.85346486695746,9.581162409530036,8.875809546541335,13.639397018231733
