hour,2025Q1,2025Q2,2025Q3,2025Q4
0,45.48667981481481,36.931565897435895,44.683096992753626,44.18599213768116
1,44.36012785185185,35.872016739926735,43.214529275362324,42.83073884057971
2,43.65133133333333,34.466391758241755,41.70336670289855,41.74094626811594
3,43.57431855555556,33.94327725274725,41.12471264492754,41.44101253623189
4,45.40700751851852,34.93227578754579,41.796849528985504,41.84758971014493
5,50.077147999999994,37.513796593406596,43.18904652173913,44.00428275362319
6,56.363441629629634,37.458635970695966,44.89936293478261,48.53092275362319
7,50.58471959259259,21.536381465201465,34.47228398550725,43.54110253623189
8,28.204573666666665,9.037591978021979,26.6004231884058,31.11403123188406
9,15.673683333333335,5.199800769230769,24.99410231884058,27.411253442028986
10,10.428034296296298,3.7206721978021977,24.790733949275364,26.17067072463768
11,7.663969888888889,2.8271809523809526,25.079079239130433,24.99135163043478
12,4.728939037037037,2.282830402930403,25.306535797101446,24.172609528985507
13,2.812698111111111,2.147018205128205,25.83112489130435,23.98822010869565
14,3.9180888888888887,2.3988775824175828,27.14352297101449,25.512025543478263
15,11.555275111111111,4.080000549450549,29.999489673913043,33.27150619565217
16,31.99282996296296,7.294770146520147,32.98300336956522,41.24734239130434
17,45.45122352059925,17.427957326007324,42.54041789855072,48.72091164835165
18,53.02782529629629,38.03257036630037,51.834169637681164,49.235971318681315
19,52.90700618518519,46.31725421245421,56.724853949275364,48.54461857142857
20,52.04840396296296,46.553976996337,53.72705597826087,47.89411230769231
21,51.07642559259259,42.73848952380953,50.46874416666667,47.661222893772894
22,49.111392518518514,39.2425141025641,47.627555326086956,46.473493406593406
23,46.66117229629629,38.07003769230769,45.600737717391304,45.00711666666666
